llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
8536700100,85367001,00,"Conectores de fibras ópticas, haces o cables de fibras ópticas.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536902800,85369028,00,"Cajas de conexión, de derivación, de corte, extremidad u otras cajas análogas.",Kg,5.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909901,85369099,01,Zócalos para cinescopios.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909902,85369099,02,Reconocibles para naves aéreas.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909903,85369099,03,Arillos o barras para accionar el avisador acústico (claxon).,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909904,85369099,04,"Arrancadores manuales a voltaje reducido, para aparatos hasta de 300 CP.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909905,85369099,05,"Controles fotoeléctricos, para iluminación.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909906,85369099,06,Buses en envolvente metálica.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909907,85369099,07,Terminales de vidrio o cerámica vitrificada.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909908,85369099,08,"Bornes individuales o en fila, con cuerpos aislantes, denominados tablillas terminales.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909909,85369099,09,"Zócalos para válvulas electrónicas, para transistores y para circuitos integrados, excepto los de cerámica para válvulas.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909910,85369099,10,Conectores múltiples para la interconexión de aparatos y equipos telefónicos.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909911,85369099,11,"Clavijas (""plugs"") reconocibles como diseñadas exclusivamente para uso en telefonía, de dos o más polos.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909912,85369099,12,"""Jacks"" reconocibles como diseñados exclusivamente para uso en telefonía, aun cuando se presenten montados en plaquetas.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909913,85369099,13,"Bloques de terminales para interconexión de equipos, aparatos o cables telefónicos.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909914,85369099,14,"Conectores simples y múltiples, aislados en material de baja pérdida, para radiofrecuencia.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
